model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
LLAMA3.1_70B,4000,500,14,1.505,14,14,209.942,17.454,1.505,0.376,750.838,187.71,57.295,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.014,0.028,1.0,13.0,4013.0,4000,13.0,trtllm,0.20.0,h100_sxm,187.71
LLAMA3.1_70B,4000,500,14,1.504,14,14,289.309,16.987,1.504,0.376,750.331,187.583,58.868,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.139,0.02,2.0,12.0,5644.0,5632,12.0,trtllm,0.20.0,h100_sxm,187.583
LLAMA3.1_70B,4000,500,13,1.434,13,13,209.823,16.968,1.434,0.359,715.801,178.95,58.934,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.842,0.026,1.0,12.0,4012.0,4000,12.0,trtllm,0.20.0,h100_sxm,178.95
LLAMA3.1_70B,4000,500,13,1.403,13,13,289.189,16.898,1.403,0.351,700.103,175.026,59.179,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.967,0.018,2.0,11.0,5643.0,5632,11.0,trtllm,0.20.0,h100_sxm,175.026
LLAMA3.1_70B,4000,500,12,1.364,12,12,271.631,16.875,1.364,0.341,680.876,170.219,59.258,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.561,0.038,1.0,11.0,2571.0,2560,11.0,trtllm,0.20.0,h100_sxm,170.219
LLAMA3.1_70B,4000,500,12,1.36,12,12,209.704,16.483,1.36,0.34,678.839,169.71,60.67,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.671,0.024,1.0,11.0,4011.0,4000,11.0,trtllm,0.20.0,h100_sxm,169.71
LLAMA3.1_70B,4000,500,24,2.714,24,24,277.141,16.121,2.714,0.339,1354.239,169.28,62.033,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,13.763,0.024,2.0,22.0,8022.0,8000,22.0,trtllm,0.20.0,h100_sxm,169.28
LLAMA3.1_70B,4000,500,11,1.282,11,11,209.586,15.997,1.282,0.321,639.791,159.948,62.511,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.499,0.022,1.0,10.0,4010.0,4000,10.0,trtllm,0.20.0,h100_sxm,159.948
LLAMA3.1_70B,4000,500,11,1.276,11,11,288.948,15.608,1.276,0.319,636.48,159.12,64.07,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.623,0.016,2.0,9.0,5641.0,5632,9.0,trtllm,0.20.0,h100_sxm,159.12
LLAMA3.1_70B,4000,500,20,2.458,20,20,276.868,14.702,2.458,0.307,1226.442,153.305,68.019,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,13.42,0.02,2.0,18.0,8018.0,8000,18.0,trtllm,0.20.0,h100_sxm,153.305
LLAMA3.1_70B,4000,500,16,2.153,16,16,276.634,13.283,2.153,0.269,1074.362,134.295,75.286,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,13.076,0.016,2.0,14.0,8014.0,8000,14.0,trtllm,0.20.0,h100_sxm,134.295
LLAMA3.1_70B,4000,500,15,2.05,15,15,266.34,13.113,2.05,0.256,1023.065,127.883,76.259,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.966,0.016,2.0,13.0,7693.0,7680,13.0,trtllm,0.20.0,h100_sxm,127.883
LLAMA3.1_70B,4000,500,14,1.972,14,14,276.537,12.614,1.972,0.247,984.085,123.011,79.274,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.904,0.014,2.0,12.0,8012.0,8000,12.0,trtllm,0.20.0,h100_sxm,123.011
LLAMA3.1_70B,4000,500,13,1.859,13,13,266.243,12.465,1.859,0.232,927.5,115.938,80.222,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.794,0.014,2.0,11.0,7691.0,7680,11.0,trtllm,0.20.0,h100_sxm,115.938
LLAMA3.1_70B,4000,500,12,1.773,12,12,276.44,11.946,1.773,0.222,884.948,110.618,83.71,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.732,0.012,2.0,10.0,8010.0,8000,10.0,trtllm,0.20.0,h100_sxm,110.618
LLAMA3.1_70B,4000,500,11,1.649,11,11,266.145,11.818,1.649,0.206,822.714,102.839,84.619,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.622,0.011,2.0,9.0,7689.0,7680,9.0,trtllm,0.20.0,h100_sxm,102.839
LLAMA3.1_70B,4000,500,10,1.554,10,10,276.343,11.278,1.554,0.194,775.574,96.947,88.672,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.561,0.01,2.0,8.0,8008.0,8000,8.0,trtllm,0.20.0,h100_sxm,96.947
LLAMA3.1_70B,4000,500,8,1.311,8,8,276.268,10.609,1.311,0.164,654.275,81.784,94.261,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.389,0.008,2.0,6.0,8006.0,8000,6.0,trtllm,0.20.0,h100_sxm,81.784
